Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Brenden Aaronson,MF,23,2000,46,43,"3,551",39.5,9,2,11,9,0,0,1,0,11.3,11.3,5.7,17.0,84,160,243,0.23,0.05,0.28,0.23,0.28,0.29,0.14,0.43,0.29,0.43
Thelo Aasgaard,"MF,FW",22,2002,17,17,1513,16.8,2,1,3,2,0,0,1,0,3.2,3.2,1.1,4.3,27,46,71,0.12,0.06,0.18,0.12,0.18,0.19,0.07,0.25,0.19,0.25
James Abankwah,DF,20,2004,19,17,1384,15.4,0,0,0,0,0,0,4,1,0.1,0.1,0.3,0.4,21,55,9,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02
Salis Abdul Samed,MF,24,2000,10,3,283,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,15,10,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Azeem Abdulai,"FW,MF",21,2002,17,2,348,3.9,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,8,10,53,0.26,0.00,0.26,0.26,0.26,0.11,0.05,0.16,0.11,0.16
Ebou Adams,MF,28,1996,44,42,3789,42.1,6,1,7,6,0,0,12,0,5.0,5.0,1.9,6.9,27,131,77,0.14,0.02,0.17,0.14,0.17,0.12,0.05,0.16,0.12,0.16
Elijah Adebayo,FW,26,1998,39,31,2425,26.9,5,0,5,5,0,0,1,0,12.8,12.8,1.1,13.9,31,20,144,0.19,0.00,0.19,0.19,0.19,0.48,0.04,0.52,0.48,0.52
Michael Adu-Poku,FW,18,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Enock Agyei,"FW,MF",19,2005,3,0,58,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,8,5,12,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.16,0.08,0.16
Anel Ahmedhodžić,DF,25,1999,38,35,3136,34.8,3,1,4,3,0,0,11,1,2.3,2.3,1.3,3.6,39,88,8,0.09,0.03,0.11,0.09,0.11,0.07,0.04,0.10,0.07,0.10
Semi Ajayi,DF,30,1993,15,14,1228,13.6,0,0,0,0,0,0,4,0,0.4,0.4,0.0,0.5,9,51,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Milan Aleksić,"MF,FW",18,2005,8,3,290,3.2,0,0,0,0,0,0,1,0,0.8,0.8,0.3,1.1,11,6,29,0.00,0.00,0.00,0.00,0.00,0.25,0.10,0.35,0.25,0.35
Ajibola Alese,DF,23,2001,12,8,703,7.8,0,0,0,0,0,0,2,0,0.5,0.5,0.5,1.0,3,29,19,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12
Jamie Allen,MF,29,1995,21,12,1004,11.2,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,2,37,6,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
Joe Allen,MF,34,1990,25,8,709,7.9,1,1,2,1,0,0,2,0,0.9,0.9,0.4,1.3,7,40,19,0.13,0.13,0.25,0.13,0.25,0.12,0.05,0.16,0.12,0.16
Millenic Alli,"FW,DF",24,2000,16,6,766,8.5,4,0,4,4,0,0,1,0,1.3,1.3,0.3,1.7,41,14,53,0.47,0.00,0.47,0.47,0.47,0.16,0.04,0.20,0.16,0.20
Jak Alnwick,GK,31,1993,29,29,2610,29.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Will Alves,"FW,MF",19,2005,14,8,667,7.4,1,3,4,1,0,0,0,0,0.8,0.8,0.9,1.7,29,14,54,0.13,0.40,0.54,0.13,0.54,0.10,0.12,0.23,0.10,0.23
Steven Alzate,MF,25,1998,28,21,1941,21.6,0,1,1,0,0,0,2,0,0.5,0.5,0.7,1.2,18,77,14,0.00,0.05,0.05,0.00,0.05,0.02,0.03,0.06,0.02,0.06
Zeki Amdouni,MF,23,2000,2,0,35,0.4,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,2.57,0.00,2.57,2.57,2.57,0.09,0.00,0.09,0.09,0.09
Ethan Ampadu,"DF,MF",23,2000,29,26,2285,25.4,0,0,0,0,0,0,7,0,0.6,0.6,1.5,2.0,26,106,9,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08
Nordin Amrabat,"FW,MF",37,1987,10,2,288,3.2,0,1,1,0,0,0,0,0,0.3,0.3,0.3,0.5,14,14,30,0.00,0.31,0.31,0.00,0.31,0.08,0.09,0.17,0.08,0.17
