Player,Squad
Erling Haaland,Manchester City
Mohamed Salah,Liverpool
Casemiro,Manchester Utd
Virgil van Dijk,Liverpool
Raheem Sterling,Chelsea
Bruno Fernandes,Manchester Utd
Marcus Rashford,Manchester Utd
Bernardo Silva,Manchester City
Jack Grealish,Manchester City
Omar Marmoush,Manchester City
Kai Havertz,Arsenal
Gabriel Jesus,Arsenal
Jadon Sancho,Manchester Utd
Mason Mount,Manchester Utd
John Stones,Manchester City
Reece James,Chelsea
Declan Rice,Arsenal
Martin Ødegaard,Arsenal
İlkay Gündoğan,Manchester City
Tijjani Reijnders,Manchester City
Phil Foden,Manchester City
Rodri,Manchester City
Joško Gvardiol,Manchester City
Wesley Fofana,Chelsea
Bukayo Saka,Arsenal
Matthijs de Ligt,Manchester Utd
Florian Wirtz,Liverpool
Christopher Nkunku,Chelsea
William Saliba,Arsenal
Harry Maguire,Manchester Utd
Son Heung-min,Tottenham
Gabriel Martinelli,Arsenal
Matheus Cunha,Manchester Utd
Manuel Akanji,Manchester City
Rúben Dias,Manchester City
Enzo Fernández,Chelsea
Kyle Walker,Manchester City
Marc Cucurella,Chelsea
James Maddison,Tottenham
Cristian Romero,Tottenham
Andrew Robertson,Liverpool
Bruno Guimarães,Newcastle Utd
Nathan Aké,Manchester City
Pedro Neto,Chelsea
Ben White,Arsenal
Gabriel Magalhães,Arsenal
Oleksandr Zinchenko,Arsenal
Bryan Mbeumo,Manchester Utd
Luke Shaw,Manchester Utd
Jarrod Bowen,West Ham
Lucas Paquetá,West Ham
Alexis Mac Allister,Liverpool
Alisson,Liverpool
Federico Chiesa,Liverpool
Ryan Gravenberch,Liverpool
Boubacar Kamara,Aston Villa
Emiliano Martínez,Aston Villa
Youri Tielemans,Aston Villa
Anthony Gordon,Newcastle Utd
Joelinton,Newcastle Utd
Kalvin Phillips,Manchester City
Mateo Kovačić,Manchester City
Moisés Caicedo,Chelsea
Darwin Núñez,Liverpool
Amadou Onana,Aston Villa
Donyell Malen,Aston Villa
Noussair Mazraoui,Manchester Utd
Mikel Merino,Arsenal
Ollie Watkins,Aston Villa
Matheus Nunes,Manchester City
Cole Palmer,Chelsea
João Félix,Chelsea
Bernd Leno,Fulham
Philippe Coutinho,Aston Villa
Jordan Pickford,Everton
Riccardo Calafiori,Arsenal
Amad Diallo,Manchester Utd
André Onana,Manchester Utd
Lisandro Martínez,Manchester Utd
Manuel Ugarte,Manchester Utd
Alphonse Areola,West Ham
Cody Gakpo,Liverpool
Dominik Szoboszlai,Liverpool
John McGinn,Aston Villa
Leon Bailey,Aston Villa
Lucas Digne,Aston Villa
Alexander Isak,Newcastle Utd
Kieran Trippier,Newcastle Utd
Sandro Tonali,Newcastle Utd
Tosin Adarabioyo,Chelsea
Idrissa Gana Gueye,Everton
Jarrad Branthwaite,Everton
Leny Yoro,Manchester Utd
James Ward-Prowse,West Ham
Dejan Kulusevski,Tottenham
Antony,Manchester Utd
Joshua Zirkzee,Manchester Utd
Daichi Kamada,Crystal Palace
Nikola Milenković,Nott'ham Forest
David Raya,Arsenal
Reiss Nelson,Arsenal
Takehiro Tomiyasu,Arsenal
Dean Henderson,Crystal Palace
Eberechi Eze,Crystal Palace
Edson Álvarez,West Ham
Max Kilman,West Ham
Jeremie Frimpong,Liverpool
Ian Maatsen,Aston Villa
Pau Torres,Aston Villa
Tyrone Mings,Aston Villa
Matt Targett,Newcastle Utd
Ederson,Manchester City
Ben Chilwell,Chelsea
Levi Colwill,Chelsea
Liam Delap,Chelsea
Mykhailo Mudryk,Chelsea
Nicolas Jackson,Chelsea
James Tarkowski,Everton
Raúl Jiménez,Fulham
Emerson Palmieri,West Ham
Jurriën Timber,Arsenal
Leandro Trossard,Arsenal
Dominic Solanke,Tottenham
Richarlison,Tottenham
Eddie Nketiah,Crystal Palace
Odsonne Édouard,Crystal Palace
Jack Harrison,Leeds United
Aaron Wan-Bissaka,West Ham
Niclas Füllkrug,West Ham
Tomáš Souček,West Ham
Leander Dendoncker,Aston Villa
Gonçalo Guedes,Wolves
Sven Botman,Newcastle Utd
Stefan Ortega,Manchester City
Benoît Badiashile,Chelsea
Chris Wood,Nott'ham Forest
Joachim Andersen,Fulham
Ferdi Kadioglu,Brighton
Diogo Dalot,Manchester Utd
Rasmus Højlund,Manchester Utd
Pedro Porro,Tottenham
Radu Drăgușin,Tottenham
Evanilson,Bournemouth
Michail Antonio,West Ham
Giorgi Mamardashvili,Liverpool
Joe Gomez,Liverpool
Ben Davies,Tottenham
Justin Kluivert,Bournemouth
Matty Cash,Aston Villa
Fábio Silva,Wolves
Harvey Barnes,Newcastle Utd
Joe Willock,Newcastle Utd
Kiernan Dewsbury-Hall,Chelsea
Kaoru Mitoma,Brighton
Lewis Dunk,Brighton
Callum Hudson-Odoi,Nott'ham Forest
Morgan Gibbs-White,Nott'ham Forest
Alex Iwobi,Fulham
Martín Zubimendi,Arsenal
Tyrell Malacia,Manchester Utd
Archie Gray,Tottenham
Destiny Udogie,Tottenham
Guglielmo Vicario,Tottenham
Rodrigo Bentancur,Tottenham
