Player,Squad,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,league
Erling Haaland,Manchester City,FW,24,2000,31,31,2736,30.4,22,3,25,19,3,4,2,0,22.0,18.8,3.0,21.8,24,20,124,0.72,0.10,0.82,0.62,0.72,0.72,0.10,0.82,0.62,0.72,Premier-League
Mohamed Salah,Liverpool,FW,32,1992,38,38,3371,37.5,29,18,47,20,9,9,1,0,25.2,18.2,14.2,32.4,154,144,488,0.77,0.48,1.25,0.53,1.01,0.67,0.38,1.05,0.49,0.87,Premier-League
Casemiro,Manchester Utd,MF,32,1992,24,18,1494,16.6,1,0,1,1,0,0,5,0,1.9,1.9,2.3,4.2,4,84,28,0.06,0.00,0.06,0.06,0.06,0.11,0.14,0.25,0.11,0.25,Premier-League
Virgil van Dijk,Liverpool,DF,33,1991,37,37,3330,37.0,3,1,4,3,0,0,5,0,2.2,2.2,0.7,3.0,22,198,6,0.08,0.03,0.11,0.08,0.11,0.06,0.02,0.08,0.06,0.08,Premier-League
Raheem Sterling,Chelsea,"FW,MF",29,1994,17,7,499,5.5,0,2,2,0,0,0,1,0,1.4,1.4,0.5,1.9,27,18,79,0.00,0.36,0.36,0.00,0.36,0.26,0.09,0.34,0.26,0.34,Premier-League
Bruno Fernandes,Manchester Utd,MF,29,1994,36,35,3018,33.5,8,10,18,5,3,3,5,2,9.9,7.6,8.5,16.1,77,325,129,0.24,0.30,0.54,0.15,0.45,0.30,0.25,0.55,0.23,0.48,Premier-League
Marcus Rashford,Manchester Utd,"FW,MF",26,1997,15,12,978,10.9,4,1,5,4,0,0,2,0,1.7,1.7,2.1,3.8,20,21,79,0.37,0.09,0.46,0.37,0.46,0.16,0.19,0.35,0.16,0.35,Premier-League
Marcus Rashford,Manchester Utd,FW,26,1997,10,4,444,4.9,2,2,4,1,1,1,0,0,3.1,2.3,2.3,4.5,22,13,42,0.41,0.41,0.81,0.20,0.61,0.62,0.46,1.08,0.46,0.92,Premier-League
Bernardo Silva,Manchester City,"MF,FW",29,1994,33,29,2670,29.7,4,4,8,4,0,0,7,0,3.9,3.9,5.1,9.0,101,134,200,0.13,0.13,0.27,0.13,0.27,0.13,0.17,0.30,0.13,0.30,Premier-League
Jack Grealish,Manchester City,"FW,MF",28,1995,20,7,721,8.0,1,1,2,1,0,0,3,0,1.1,1.1,1.8,3.0,69,52,118,0.12,0.12,0.25,0.12,0.25,0.14,0.23,0.37,0.14,0.37,Premier-League
Omar Marmoush,Manchester City,"FW,MF",25,1999,16,14,1175,13.1,7,0,7,7,0,0,0,0,5.5,5.5,2.8,8.3,29,37,78,0.54,0.00,0.54,0.54,0.54,0.42,0.21,0.64,0.42,0.64,Premier-League
